RXN-15909	3.2.1.2
RXN-20734	3.1.8.1
FORMIMINOGLUTAMATE-DEIMINASE-RXN	3.5.3.13
2.7.7.64-RXN	2.7.7.64
RXN-15088	3.1.1.23
RXN-17659	1.14.15.28
UDPMANACATRANS-RXN	2.4.1.180
RXN-12673	1.1.1.317
RXN-5468	2.4.1.260
3.4.11.3-RXN	3.4.11.3
1.14.13.73-RXN	1.14.14.103
RXN-13852	1.21.98.3
RXN0-5408	3.1.3.25
RXN-18552	1.1.1.412
RXN-8788	2.5.1.133
1.14.11.24-RXN	1.14.11.24
STREPTOMYCIN-3-KINASE-RXN	2.7.1.87
RXN-17781	1.1.1.35
RXN-1082	2.8.3.12
RXN-15326	2.4.2.51
RXN-8500	4.2.1.92
RXN-21648	1.3.1.10
RXN-15275	3.4.17.14
4.2.3.27-RXN	4.2.3.27
GLUTATHIONE-PEROXIDASE-RXN	1.11.1.9
RXN8J2-139	3.9.1.2
RXN-13396	1.14.20.7
POLYNUCLEOTIDE-5-PHOSPHATASE-RXN	3.1.3.33
1.14.13.98-RXN	1.14.14.25
RXN-10977	3.6.1.52
3.2.1.156-RXN	3.2.1.156
RXN-8616	4.2.3.48
3.4.14.2-RXN	3.4.14.2
RXN-8102	2.1.1.250
RXN-18568	2.3.3.20
RXN-17607	3.5.5.1
ARYLSULFATE-SULFOTRANSFERASE-RXN	2.8.2.22
